"Zip Code","State","City","Zillow Home Value Index","Median Household Income"
60616,"IL","Chicago",281037,1286662
97402,"OR","Eugene",239515,920656
43228,"OH","Columbus",135673,932195
75150,"TX","Mesquite",161721,1037291
95051,"CA","Santa Clara",1497715,2534356
20147,"VA","Ashburn",485829,2931283
55901,"MN","Rochester",206421,1619968
23452,"VA","Virginia Beach",231415,1725834
91710,"CA","Chino",482947,1690502
91335,"CA","Los Angeles",537829,1328724
35242,"AL","Hoover",340519,2944244
30127,"GA","Powder Springs",193192,1612312
71913,"AR","Hot Springs",144530,920208
90731,"CA","Los Angeles",599165,1275186
29730,"SC","Rock Hill",127512,944787
80015,"CO","Aurora",394579,2087423
32225,"FL","Jacksonville",229935,1647302
95687,"CA","Vacaville",419294,1651799
27713,"NC","Durham",243009,1614078
77840,"TX","College Station",180274,412978
30004,"GA","Milton",400509,3158437
43068,"OH","Reynoldsburg",161842,1213422
93550,"CA","Palmdale",262571,926745
89123,"NV","Las Vegas",280692,1541722
94509,"CA","Antioch",403186,1270816
80525,"CO","Fort Collins",387132,1729941
78501,"TX","McAllen",107906,946839
48823,"MI","East Lansing",191505,1282918
63123,"MO","Affton",154488,1310229
40601,"KY","Frankfort",130454,1171529
21215,"MD","Baltimore",68198,893257
29464,"SC","Mount Pleasant",464017,2468220
60622,"IL","Chicago",450385,2320429
7087,"NJ","Union City",387710,1026000
32828,"FL","Orlando",285741,1559088
77057,"TX","Houston",250933,2376779
23451,"VA","Virginia Beach",390049,2058962
23223,"VA","Richmond",154857,829448
60615,"IL","Chicago",176384,1107970
42101,"KY","Bowling Green",136686,748178
45601,"OH","Chillicothe",112433,1053742
30135,"GA","Douglasville",164808,1456899
27284,"NC","Kernersville",163902,1392387
19446,"PA","Lansdale",308144,2190852
14221,"NY","Amherst",239320,2385456
98115,"WA","Seattle",860708,2555944
60641,"IL","Chicago",275153,1430424
94122,"CA","San Francisco",1427605,2401961
93727,"CA","Fresno",250040,1137213
76116,"TX","Fort Worth",188143,1318995
21122,"MD","Pasadena",300283,2136716
93536,"CA","Lancaster",347125,1654580
93535,"CA","Lancaster",241936,937373
85251,"AZ","Scottsdale",318267,1335621
60453,"IL","Oak Lawn",177304,1567122
33319,"FL","Lauderhill",98962,782153
78249,"TX","San Antonio",202938,1309423
19020,"PA","Bensalem",247347,1554500
33321,"FL","Tamarac",185566,993168
2301,"MA","Brockton",291010,1157173
95758,"CA","Elk Grove",389354,1694942
60660,"IL","Chicago",211242,1135440
93306,"CA","Bakersfield",200099,1321556
11225,"NY","New York",1279099,1228231
73160,"OK","Moore",137950,1204241
14580,"NY","Webster",198232,1866237
19720,"DE","New Castle",189256,1251152
89031,"NV","North Las Vegas",239946,1308232
93257,"CA","Porterville",184936,988922
27707,"NC","Durham",236000,1313813
11204,"NY","New York",891256,1606891
93307,"CA","Bakersfield",167705,911172
33467,"FL","Greenacres",289847,1601541
22204,"VA","Arlington",525316,1743035
20874,"MD","Germantown",295226,1987440
93309,"CA","Bakersfield",201625,1321412
95035,"CA","Milpitas",1094116,2679062
31419,"GA","Savannah",160478,1036304
66061,"KS","Olathe",235800,1891026
11219,"NY","New York",796189,1364843
21222,"MD","Dundalk",135948,1061479
60056,"IL","Mount Prospect",294804,1835917
27703,"NC","Durham",187710,1065823
85282,"AZ","Tempe",267273,1089772
29223,"SC","Columbia",120058,1249877
93230,"CA","Hanford",218512,1223591
72712,"AR","Bentonville",227008,3833068
29445,"SC","Goose Creek",174021,1172641
75043,"TX","Garland",189347,1251287
33157,"FL","Village of Palmetto Bay",303290,1758233
90802,"CA","Long Beach",367117,958950
94538,"CA","Fremont",958058,2116854
37064,"TN","Franklin",424804,2302711
98682,"WA","Vancouver",304942,1272426
94541,"CA","Hayward",641800,1398550
95076,"CA","Watsonville",577126,1673127
98133,"WA","Shoreline",607733,1326569
28601,"NC","Hickory",142936,1328691
70726,"LA","Denham Springs",158279,1193038
77007,"TX","Houston",406713,2850931
75002,"TX","Allen",290173,2416324
92630,"CA","Lake Forest",709709,2025784
93274,"CA","Tulare",191104,1126324
31907,"GA","Columbus",70849,879985
28216,"NC","Charlotte",158348,969954
38655,"MS","Oxford",213488,979600
46143,"IN","Greenwood",172145,1675625
11213,"NY","New York",869346,964964
37167,"TN","Smyrna",215458,1212312
32792,"FL","Goldenrod",232512,1044273
92647,"CA","Huntington Beach",743200,1681816
36117,"AL","Montgomery",165040,1508190
37122,"TN","Mount Juliet",303506,1645552
32246,"FL","Jacksonville",173660,1109129
20020,"DC","Washington",318591,862247
99208,"WA","Spokane",251065,1324302
77083,"TX","Mission Bend",162147,1250100
63021,"MO","Ballwin",254182,2252064
11368,"NY","New York",504037,1252689
29681,"SC","Simpsonville",234335,1899774
30253,"GA","McDonough",168493,1253071
29485,"SC","Summerville",213559,1280108
92115,"CA","San Diego",531685,1110312
92104,"CA","San Diego",618384,1214947
90631,"CA","La Habra",595960,1816457
15301,"PA","Washington",139527,1432870
6516,"CT","West Haven",173012,1204491
27705,"NC","Durham",259909,1390733
97045,"OR","Oregon City",398684,1517063
1960,"MA","Peabody",423713,1647406
17331,"PA","Penn",168240,1450449
32608,"FL","Gainesville",211070,1212393
78758,"TX","Austin",260376,891316
11203,"NY","New York",484023,1346763
33511,"FL","Brandon",208957,1245244
60637,"IL","Chicago",110216,859232
63129,"MO","Oakville",221241,1832134
85022,"AZ","Phoenix",264363,1245714
92154,"CA","San Diego",461645,1559509
85204,"AZ","Mesa",211455,909123
94513,"CA","Brentwood",583287,1987725
87124,"NM","Rio Rancho",176024,1219055
78251,"TX","San Antonio",182873,1205201
78741,"TX","Austin",238174,639786
89110,"NV","Las Vegas",191679,1025411
92646,"CA","Huntington Beach",833629,2310636
10031,"NY","New York",761043,1001265
94587,"CA","Union City",892515,2293697
37040,"TN","Clarksville",152299,857053
74133,"OK","Tulsa",183376,1570155
98122,"WA","Seattle",820288,1507284
11220,"NY","New York",679491,1360015
30066,"GA","Marietta",248468,1938404
28215,"NC","Charlotte",166439,952659
20852,"MD","North Bethesda",427520,2227246
85142,"AZ","Queen Creek",309854,1349904
33458,"FL","Jupiter",341696,2317053
95355,"CA","Modesto",326575,1402395
83301,"ID","Twin Falls",181687,1010467
75211,"TX","Dallas",136813,865846
59901,"MT","Kalispell",244341,1087851
95670,"CA","Rancho Cordova",322639,1329656
85345,"AZ","Peoria",196535,962459
21061,"MD","Glen Burnie",242768,1311774
32765,"FL","Oviedo",287333,1686681
92376,"CA","Rialto",328849,1069306
43229,"OH","Columbus",145201,864877
60148,"IL","Lombard",254656,1722342
97401,"OR","Eugene",332026,963543
37421,"TN","Chattanooga",183001,1363139
37066,"TN","Gallatin",229393,1313476
95014,"CA","Cupertino",2358217,4503718
94568,"CA","Dublin",890970,2626598
37027,"TN","Brentwood",563586,4058278
45044,"OH","Middletown",124781,1202154
19067,"PA","Lower Makefield",369953,2675327
19134,"PA","Philadelphia",43453,572445
28210,"NC","Charlotte",330508,1911460
33414,"FL","Wellington",371192,2454650
67401,"KS","Salina",117396,1221752
30263,"GA","Newnan",163623,1253304
92105,"CA","San Diego",423076,825662
28227,"NC","Mint Hill",188364,1181600
45013,"OH","Hamilton",134381,1198492
34293,"FL","Venice",222599,934701
11216,"NY","New York",865671,1096986
70072,"LA","Marrero",127286,1092905
27519,"NC","Cary",412095,2385245
23322,"VA","Chesapeake",336534,2181231
94080,"CA","South San Francisco",1018073,2336584
38305,"TN","Jackson",133096,1320406
33433,"FL","Boca Raton",292807,1710567
92122,"CA","San Diego",718995,1639237
42701,"KY","Elizabethtown",157990,1200959
89074,"NV","Henderson",297965,1778368
89103,"NV","Las Vegas",144335,1140568
77346,"TX","Atascocita",212334,2158680
23455,"VA","Virginia Beach",279876,1624655
14094,"NY"," Lockport",139601,1223206
47150,"IN","New Albany",127149,1018522
79924,"TX","El Paso",94909,831126
27265,"NC","High Point",155036,1268687
30058,"GA","Lithonia",126172,826401
30047,"GA","Lilburn",206407,1535675
12180,"NY","Troy",169967,1106505
30101,"GA","Acworth",218913,1839135
33015,"FL","Country Club",253177,1124883
60608,"IL","Chicago",241752,1107641
41042,"KY","Florence",147888,1224850
92648,"CA","Huntington Beach",953364,2498930
55124,"MN","Apple Valley",265698,1890149
32303,"FL","Tallahassee",133954,953078
78753,"TX","Austin",232693,806897
92620,"CA","Irvine",915198,2263406
94112,"CA","San Francisco",1032768,2115791
37129,"TN","Murfreesboro",234913,1345605
90640,"CA","Montebello",536246,1173997
10014,"NY","New York",1959571,4861288
48439,"MI","Grand Blanc",172907,1595739
89148,"NV","Las Vegas",287130,1259820
78254,"TX","San Antonio",210470,1275155
33141,"FL","Miami Beach",270019,1215300
95112,"CA","San Jose",878291,1290337
78664,"TX","Round Rock",212867,1386828
96815,"HI","Honolulu",472543,977118
94087,"CA","Sunnyvale",2213846,3586907
98208,"WA","Seattle Hill-Silver Firs",459029,1570992
19148,"PA","Philadelphia",208289,945962
7305,"NJ","Jersey City",306864,1325103
32825,"FL","Orlando",228560,1110159
53704,"WI","Madison",214990,1365514
1201,"MA","Pittsfield",156362,1089579
20904,"MD","Silver Spring",412242,1837834
95648,"CA","Lincoln",461121,1635695
84404,"UT","Ogden",213188,1082614
27407,"NC","Greensboro",122806,1067100
59102,"MT","Billings",214129,1371777
8759,"NJ","Manchester",157911,816337
77070,"TX","Houston",195580,1642502
2151,"MA","Revere",379184,1145526
96706,"HI","Ewa Beach",622605,1644178
78209,"TX","San Antonio",381050,2810538
75204,"TX","Dallas",361271,1384031
95125,"CA","San Jose",1422491,3151928
33436,"FL","Boynton Beach",252387,1344892
90036,"CA","Los Angeles",1756997,1862216
97124,"OR","Hillsboro",365811,1549619
54601,"WI","La Crosse",149953,1175329
33463,"FL","Greenacres",211758,998394
29579,"SC","Forestbrook",177809,874411
33021,"FL","Hollywood",267981,1372507
33324,"FL","Plantation",225061,1645672
6511,"CT","New Haven",196202,1045467
7047,"NJ","North Bergen",374359,1281672
92562,"CA","Murrieta",433081,1805455
98034,"WA","Kirkland",678008,2096984
8873,"NJ","Franklin",325217,1996320
76179,"TX","Fort Worth",204994,1598524
11354,"NY","New York",678992,1008807
30067,"GA","Marietta",240774,1908625
60004,"IL","Arlington Heights",330816,2451038
20910,"MD","Silver Spring",531914,1771450
11746,"NY","Huntington",423089,3077723
30075,"GA","Roswell",411141,2876320
85255,"AZ","Scottsdale",666634,3535498
53711,"WI","Madison",285190,2063277
2780,"MA","Taunton",281264,1168681
2135,"MA","Boston",449421,1129755
76137,"TX","Fort Worth",201441,1412730
45140,"OH","Loveland",242882,2183233
92117,"CA","San Diego",661507,1582574
32771,"FL","Sanford",207107,1239350
43302,"OH","Marion",73364,897716
8527,"NJ","Jackson",351384,1885788
92130,"CA","San Diego",1118482,4242094
22407,"VA","Fredericksburg",265748,1661099
22201,"VA","Arlington",657362,2380623
19711,"DE","Newark",287952,1696813
92128,"CA","San Diego",658369,2131200
89147,"NV","Las Vegas",258425,1233393
83646,"ID","Meridian",277008,1390879
22192,"VA","Woodbridge",341326,2107671
7728,"NJ","Freehold",351573,2147511
17601,"PA","Manheim",233343,1920494
94591,"CA","Vallejo",464204,1607706
48066,"MI","Roseville",90737,827332
85201,"AZ","Mesa",184761,659580
91331,"CA","Los Angeles",471525,1316307
47130,"IN","Jeffersonville",127774,999457
94086,"CA","Sunnyvale",1797921,2356410
92563,"CA","Murrieta",429367,1482905
29483,"SC","Summerville",202899,1579001
61761,"IL","Normal",149770,1165179
45040,"OH","Mason",254953,2401600
19702,"DE","Newark",226407,1432827
63301,"MO","Saint Charles",176327,1316974
30144,"GA","Kennesaw",206611,1237806
70065,"LA","Kenner",176174,1326326
91801,"CA","Alhambra",645913,1147789
78748,"TX","Austin",282820,1327532
79424,"TX","Lubbock",208147,1764009
83709,"ID","Boise",255128,1348198
19380,"PA","West Chester",390939,2435873
72034,"AR","Conway",171585,1109366
27106,"NC","Winston-Salem",166533,1579657
90042,"CA","Los Angeles",734316,1155619
29588,"SC","Socastee",169052,764210
76051,"TX","Grapevine",341010,1911725
45424,"OH","Huber Heights",114877,1156846
92020,"CA","El Cajon",522423,1222166
28025,"NC","Concord",163482,1070908
93308,"CA","Oildale",197162,1086854
94553,"CA","Martinez",627565,1786075
73013,"OK","Edmond",208447,2272273
80219,"CO","Denver",309334,862110
30907,"GA","Martinez",153876,1451283
10466,"NY","New York",413783,1122503
78520,"TX","Brownsville",81842,811442
94015,"CA","Daly City",1008117,1851553
92882,"CA","Corona",476825,1614250
34748,"FL","Leesburg",162113,830100
29229,"SC","Columbia",148410,1197698
24060,"VA","Blacksburg",274429,956184
38654,"MS","Olive Branch",183560,1344461
97504,"OR","Medford",299698,1271633
33308,"FL","Fort Lauderdale",357663,1913929
7055,"NJ","Passaic",298535,997472
73505,"OK","Lawton",87547,922980
27603,"NC","Raleigh",219612,1211675
60402,"IL","Berwyn",190808,1194004
92399,"CA","Yucaipa",368187,1287649
32137,"FL","Palm Coast",237025,1307585
98225,"WA","Bellingham",395711,1005488
75098,"TX","Wylie",259680,1426052
11374,"NY","New York",774523,1234938
33312,"FL","Fort Lauderdale",255972,1163092
85351,"AZ","Sun City",160701,555303
75115,"TX","Desoto",199284,1175007
23112,"VA","Midlothian",261334,1624960
65202,"MO","Columbia",149056,935761
78228,"TX","San Antonio",123628,791750
84015,"UT","Clearfield",238725,1189764
60638,"IL","Chicago",211519,1360853
78223,"TX","San Antonio",121019,759085
30319,"GA","Brookhaven",534697,2831023
7003,"NJ","Bloomfield",320159,1446744
77373,"TX","Spring",152428,1348739
99336,"WA","Kennewick",200436,914316
97206,"OR","Portland",383584,1071799
79109,"TX","Amarillo",156635,1261868
92201,"CA","Indio",262280,865544
38016,"TN","Memphis",178493,1226926
19382,"PA","West Chester",413253,2705438
33437,"FL","Boynton Beach",284283,1305699
23456,"VA","Virginia Beach",344054,1834477
44646,"OH","Massillon",128105,1220430
75093,"TX","Plano",446459,3879749
53209,"WI","Milwaukee",62683,789036
28645,"NC","Lenoir",91719,735386
78230,"TX","San Antonio",259170,1664454
92704,"CA","Santa Ana",552134,1351741
95008,"CA","Campbell",1453017,2252006
22030,"VA","Fairfax",543626,2333147
60639,"IL","Chicago",230830,1120068
48187,"MI","Canton",256551,1713476
63366,"MO","O Fallon",212635,1463255
80016,"CO","Aurora",538102,2310289
36695,"AL","Mobile",170463,1319593
63116,"MO","Saint Louis",112648,802301
92056,"CA","Oceanside",534095,1479653
95350,"CA","Modesto",275263,971727
34698,"FL","Dunedin",238096,1022759
34997,"FL","Stuart",251961,1286097
97405,"OR","Eugene",328677,1643959
96797,"HI","Waipahu",654099,1727634
61265,"IL","Moline",90717,1188182
92071,"CA","Santee",512462,1495863
80538,"CO","Loveland",336881,1367935
78045,"TX","Laredo",183335,1468717
21206,"MD","Baltimore",131795,921386
8021,"NJ","Lindenwold",115452,978602
92024,"CA","Encinitas",999554,2889541
85383,"AZ","Peoria",377680,1745871
27606,"NC","Raleigh",260534,1019362
92656,"CA","Aliso Viejo",626534,2192921
92553,"CA","Moreno Valley",292614,897962
6810,"CT","Danbury",251823,1146730
10473,"NY","New York",369823,983107
56001,"MN","Mankato",190283,1019890
22003,"VA","Annandale",531677,2123758
46032,"IN","Carmel",317906,2980065
85374,"AZ","Surprise",234852,925935
45069,"OH","West Chester",229477,1983649
23225,"VA","Richmond",208847,945219
28546,"NC","Jacksonville",130342,787934
95624,"CA","Elk Grove",429516,1725624
27405,"NC","Greensboro",93025,599159
4401,"ME","Bangor",142064,987888
63303,"MO","Saint Charles",225412,1636395
44124,"OH","Lyndhurst",143347,1744833
34952,"FL","Port Saint Lucie",177241,766919
11210,"NY","New York",818599,1888103
78253,"TX","San Antonio",252610,1210383
45238,"OH","Cincinnati",113113,1018841
30114,"GA","Canton",244732,1325366
36830,"AL","Auburn",242649,1098174
78550,"TX","Harlingen",82629,799690
97702,"OR","Bend",402480,1251025
26003,"WV","Wheeling",106215,1120944
27529,"NC","Garner",200133,1082776
10036,"NY","New York",1247297,3690222
33418,"FL","Palm Beach Gardens",394179,2819252
92509,"CA","Riverside",378527,1173562
32068,"FL","Middleburg",182567,1057818
96720,"HI","Hilo",313474,1076052
92626,"CA","Costa Mesa",789913,1742333
96817,"HI","Honolulu",725976,1390236
90006,"CA","Los Angeles",656355,563530
37043,"TN","Clarksville",205289,1201938
27616,"NC","Raleigh",199507,1022570
12550,"NY"," Newburgh",190859,1270043
30606,"GA","Athens",191717,1149974
75040,"TX","Garland",180200,1108890
33065,"FL","Coral Springs",199900,1067917
10940,"NY","Middletown",176504,1165333
89129,"NV","Las Vegas",274690,1454949
33914,"FL","Cape Coral",271432,1097326
60073,"IL","Round Lake Beach",146762,1333186
92805,"CA","Anaheim",537012,1106935
19320,"PA","Valley",215399,1592846
92880,"CA","Eastvale",566148,1833291
93003,"CA","Ventura",590198,1607598
75007,"TX","Carrollton",265151,1664164
